
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0049/1000| Loss 0.3498 | Train Accuracy 0.7082 | Val Accuracy 0.6615 | Test Accuracy 0.6346 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0050/1000| Loss 0.3347 | Train Accuracy 0.7092 | Val Accuracy 0.6520 | Test Accuracy 0.5973 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0051/1000| Loss 0.3431 | Train Accuracy 0.7085 | Val Accuracy 0.6489 | Test Accuracy 0.5964 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0052/1000| Loss 0.3410 | Train Accuracy 0.7126 | Val Accuracy 0.6858 | Test Accuracy 0.6714 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0053/1000| Loss 0.3393 | Train Accuracy 0.7185 | Val Accuracy 0.6854 | Test Accuracy 0.6497 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0054/1000| Loss 0.3449 | Train Accuracy 0.6773 | Val Accuracy 0.6305 | Test Accuracy 0.6312 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0055/1000| Loss 0.3290 | Train Accuracy 0.6898 | Val Accuracy 0.6608 | Test Accuracy 0.6351 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0056/1000| Loss 0.3333 | Train Accuracy 0.7111 | Val Accuracy 0.6887 | Test Accuracy 0.6521 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0057/1000| Loss 0.3265 | Train Accuracy 0.7215 | Val Accuracy 0.7085 | Test Accuracy 0.6561 | Best val. Accuracy 0.7304 | Best test Accuracy 0.6722
Epoch 0058/1000| Loss 0.3300 | Train Accuracy 0.7246 | Val Accuracy 0.7312 | Test Accuracy 0.6794 | Best val. Accuracy 0.7312 | Best test Accuracy 0.6794
Epoch 0059/1000| Loss 0.3323 | Train Accuracy 0.7060 | Val Accuracy 0.7101 | Test Accuracy 0.6762 | Best val. Accuracy 0.7312 | Best test Accuracy 0.6794
Epoch 0060: Avg Forward 20.780ms, Avg Backward 10.903ms, Total per epoch 31.682ms
Epoch 0060/1000| Loss 0.3354 | Train Accuracy 0.7292 | Val Accuracy 0.7378 | Test Accuracy 0.6837 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0061/1000| Loss 0.3423 | Train Accuracy 0.7287 | Val Accuracy 0.7170 | Test Accuracy 0.6417 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0062/1000| Loss 0.3262 | Train Accuracy 0.7159 | Val Accuracy 0.6839 | Test Accuracy 0.6171 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0063/1000| Loss 0.3321 | Train Accuracy 0.7117 | Val Accuracy 0.6872 | Test Accuracy 0.6445 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0064/1000| Loss 0.3242 | Train Accuracy 0.7156 | Val Accuracy 0.7102 | Test Accuracy 0.6842 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0065/1000| Loss 0.3200 | Train Accuracy 0.7307 | Val Accuracy 0.7319 | Test Accuracy 0.6838 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0066/1000| Loss 0.3215 | Train Accuracy 0.6962 | Val Accuracy 0.6994 | Test Accuracy 0.6744 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0067/1000| Loss 0.3337 | Train Accuracy 0.7302 | Val Accuracy 0.7237 | Test Accuracy 0.6638 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0068/1000| Loss 0.3357 | Train Accuracy 0.7288 | Val Accuracy 0.7242 | Test Accuracy 0.6721 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0069/1000| Loss 0.3269 | Train Accuracy 0.7287 | Val Accuracy 0.7194 | Test Accuracy 0.6790 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0070/1000| Loss 0.3244 | Train Accuracy 0.7261 | Val Accuracy 0.7174 | Test Accuracy 0.6772 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0071/1000| Loss 0.3192 | Train Accuracy 0.7198 | Val Accuracy 0.7191 | Test Accuracy 0.6708 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
Epoch 0072/1000| Loss 0.3191 | Train Accuracy 0.7307 | Val Accuracy 0.7188 | Test Accuracy 0.6759 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6837
