
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0058/1000| Loss 2.8348 | Train Accuracy 0.3084 | Val Accuracy 0.3080 | Test Accuracy 0.2683 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0059/1000| Loss 2.8935 | Train Accuracy 0.2834 | Val Accuracy 0.2686 | Test Accuracy 0.2148 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0060: Avg Forward 222.278ms, Avg Backward 68.182ms, Total per epoch 290.460ms
Epoch 0060/1000| Loss 2.9697 | Train Accuracy 0.3077 | Val Accuracy 0.3059 | Test Accuracy 0.2644 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0061/1000| Loss 2.8430 | Train Accuracy 0.3086 | Val Accuracy 0.3087 | Test Accuracy 0.2692 | Best val. Accuracy 0.3087 | Best test Accuracy 0.2692
Epoch 0062/1000| Loss 2.8661 | Train Accuracy 0.3087 | Val Accuracy 0.3086 | Test Accuracy 0.2692 | Best val. Accuracy 0.3087 | Best test Accuracy 0.2692
Epoch 0063/1000| Loss 2.9200 | Train Accuracy 0.3086 | Val Accuracy 0.3090 | Test Accuracy 0.2696 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0064/1000| Loss 3.3170 | Train Accuracy 0.2898 | Val Accuracy 0.2808 | Test Accuracy 0.2289 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0065/1000| Loss 3.0281 | Train Accuracy 0.2499 | Val Accuracy 0.2418 | Test Accuracy 0.1920 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0066/1000| Loss 3.0951 | Train Accuracy 0.2296 | Val Accuracy 0.2203 | Test Accuracy 0.1803 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0067/1000| Loss 2.8614 | Train Accuracy 0.2888 | Val Accuracy 0.2816 | Test Accuracy 0.2320 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0068/1000| Loss 2.9780 | Train Accuracy 0.3046 | Val Accuracy 0.3022 | Test Accuracy 0.2564 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0069/1000| Loss 2.8858 | Train Accuracy 0.2938 | Val Accuracy 0.2886 | Test Accuracy 0.2410 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0070/1000| Loss 2.8239 | Train Accuracy 0.2879 | Val Accuracy 0.2794 | Test Accuracy 0.2284 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0071/1000| Loss 2.8785 | Train Accuracy 0.3074 | Val Accuracy 0.3064 | Test Accuracy 0.2656 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0072/1000| Loss 3.2373 | Train Accuracy 0.2453 | Val Accuracy 0.2334 | Test Accuracy 0.1891 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0073/1000| Loss 2.9256 | Train Accuracy 0.2122 | Val Accuracy 0.1995 | Test Accuracy 0.1662 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0074/1000| Loss 2.8937 | Train Accuracy 0.2118 | Val Accuracy 0.2045 | Test Accuracy 0.1744 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0075/1000| Loss 2.8437 | Train Accuracy 0.1828 | Val Accuracy 0.1767 | Test Accuracy 0.1584 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
Epoch 0076/1000| Loss 2.8501 | Train Accuracy 0.1832 | Val Accuracy 0.1772 | Test Accuracy 0.1579 | Best val. Accuracy 0.3090 | Best test Accuracy 0.2696
