
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0104/1000| Loss 0.3042 | Train Accuracy 0.7728 | Val Accuracy 0.7599 | Test Accuracy 0.7008 | Best val. Accuracy 0.7599 | Best test Accuracy 0.7008
Epoch 0105/1000| Loss 0.3041 | Train Accuracy 0.7786 | Val Accuracy 0.7668 | Test Accuracy 0.7085 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0106/1000| Loss 0.3051 | Train Accuracy 0.7649 | Val Accuracy 0.7568 | Test Accuracy 0.7022 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0107/1000| Loss 0.3040 | Train Accuracy 0.7807 | Val Accuracy 0.7666 | Test Accuracy 0.7153 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0108/1000| Loss 0.3018 | Train Accuracy 0.7779 | Val Accuracy 0.7627 | Test Accuracy 0.7080 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0109/1000| Loss 0.3001 | Train Accuracy 0.7726 | Val Accuracy 0.7574 | Test Accuracy 0.6995 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0110/1000| Loss 0.3027 | Train Accuracy 0.7874 | Val Accuracy 0.7666 | Test Accuracy 0.7116 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0111/1000| Loss 0.3054 | Train Accuracy 0.7734 | Val Accuracy 0.7627 | Test Accuracy 0.7089 | Best val. Accuracy 0.7668 | Best test Accuracy 0.7085
Epoch 0112/1000| Loss 0.3053 | Train Accuracy 0.7848 | Val Accuracy 0.7700 | Test Accuracy 0.7180 | Best val. Accuracy 0.7700 | Best test Accuracy 0.7180
Epoch 0113/1000| Loss 0.2997 | Train Accuracy 0.7834 | Val Accuracy 0.7675 | Test Accuracy 0.7169 | Best val. Accuracy 0.7700 | Best test Accuracy 0.7180
Epoch 0114/1000| Loss 0.3013 | Train Accuracy 0.7665 | Val Accuracy 0.7521 | Test Accuracy 0.7029 | Best val. Accuracy 0.7700 | Best test Accuracy 0.7180
Epoch 0115/1000| Loss 0.3015 | Train Accuracy 0.7836 | Val Accuracy 0.7669 | Test Accuracy 0.7159 | Best val. Accuracy 0.7700 | Best test Accuracy 0.7180
Epoch 0116/1000| Loss 0.2998 | Train Accuracy 0.7925 | Val Accuracy 0.7724 | Test Accuracy 0.7188 | Best val. Accuracy 0.7724 | Best test Accuracy 0.7188
Epoch 0117/1000| Loss 0.3011 | Train Accuracy 0.7743 | Val Accuracy 0.7561 | Test Accuracy 0.6972 | Best val. Accuracy 0.7724 | Best test Accuracy 0.7188
Epoch 0118/1000| Loss 0.2996 | Train Accuracy 0.7800 | Val Accuracy 0.7621 | Test Accuracy 0.7046 | Best val. Accuracy 0.7724 | Best test Accuracy 0.7188
Epoch 0119/1000| Loss 0.2959 | Train Accuracy 0.7892 | Val Accuracy 0.7714 | Test Accuracy 0.7170 | Best val. Accuracy 0.7724 | Best test Accuracy 0.7188
Epoch 0120: Avg Forward 41.121ms, Avg Backward 32.662ms, Total per epoch 73.783ms
Epoch 0120/1000| Loss 0.2976 | Train Accuracy 0.7809 | Val Accuracy 0.7641 | Test Accuracy 0.7120 | Best val. Accuracy 0.7724 | Best test Accuracy 0.7188
Epoch 0121/1000| Loss 0.2959 | Train Accuracy 0.7799 | Val Accuracy 0.7637 | Test Accuracy 0.7101 | Best val. Accuracy 0.7724 | Best test Accuracy 0.7188
Epoch 0122/1000| Loss 0.2959 | Train Accuracy 0.7942 | Val Accuracy 0.7759 | Test Accuracy 0.7195 | Best val. Accuracy 0.7759 | Best test Accuracy 0.7195
Epoch 0123/1000| Loss 0.2938 | Train Accuracy 0.8021 | Val Accuracy 0.7828 | Test Accuracy 0.7236 | Best val. Accuracy 0.7828 | Best test Accuracy 0.7236
Epoch 0124/1000| Loss 0.2943 | Train Accuracy 0.7998 | Val Accuracy 0.7804 | Test Accuracy 0.7208 | Best val. Accuracy 0.7828 | Best test Accuracy 0.7236
